row_id,order_priority,discount,unitprice,shipping_cost,customer_id,customer_first_name,customer_last_name,customer_segment,product_category,product_subcategory,product_container,product_name,product_base_margin,order_date,ship_date,profit,quantity_ordered_new,sales,order_id,region,district
18606,Not Specified,0.01,2.88,0.5,2,Janice,Fletcher,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,2012-05-28,2012-05-30,1.32,2,5.9,88525,Central,Alor Gajah
20847,High,0.01,2.84,0.93,3,Bonnie,Potter,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Liquid Accent™ Tank-Style Highlighters,0.54,2010-07-07,2010-07-08,4.56,4,13.01,88522,West,Alor Gajah
23086,Not Specified,0.03,6.68,6.15,3,Bonnie,Potter,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,2011-07-27,2011-07-28,-47.64,7,49.92,88523,West,Alor Gajah
23087,Not Specified,0.01,5.68,3.6,3,Bonnie,Potter,Corporate,Office Supplies,"Scissors, Rulers And Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,0.56,2011-07-27,2011-07-28,-30.51,7,41.64,88523,West,Alor Gajah
23088,Not Specified,0.0,205.99,2.5,3,Bonnie,Potter,Corporate,Technology,Telephones And Communication,Small Box,V70,0.59,2011-07-27,2011-07-27,998.2023,8,1446.67,88523,West,Alor Setar
23597,Medium,0.09,55.48,14.3,3,Bonnie,Potter,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,2011-11-09,2011-11-11,1388.0523,37,2011.67,88524,West,Bagan Datuk
25549,Low,0.08,120.97,26.3,3,Bonnie,Potter,Corporate,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,0.38,2013-07-01,2013-07-08,1001.4453,12,1451.37,88526,West,Bagan Datuk
20228,Not Specified,0.02,500.98,26.0,5,Ronnie,Proctor,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,2010-12-13,2010-12-15,4390.3665,12,6362.85,90193,West,Dungun
19483,Low,0.08,6.48,6.81,5,Ronnie,Proctor,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,2012-05-12,2012-05-21,-141.26,18,113.25,90197,West,Dungun
24782,High,0.01,90.24,0.99,6,Dwight,Hwang,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet Masterpiece® Homeoffice Power Control Center,0.56,2011-05-26,2011-05-26,1045.4673,16,1515.17,90194,West,Dungun
24563,Critical,0.07,6.48,6.6,6,Dwight,Hwang,Home Office,Office Supplies,Paper,Small Box,Xerox 21,0.37,2012-12-29,2012-12-31,-13.86,4,28.61,90200,West,Dungun
